scenario_id,title,mapping,change_type,origin,base_description,left_description,right_description,merge_intent,acceptance_criteria,base_files,left_files,right_files,expected_files,artifact_file_count,logical_element_count,logical_elements,dependency_scope,validation_scope,associated_tests,mapping_basis,change_type_basis,oracle_review_status,classification_status
scenario_11,Builder & Validator Implementation,1:1,behavioral,synthetic_controlled,Common ancestor for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Left branch for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Right branch for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Combine Builder-based user creation from the left branch with Validator-based create and update checks from the right branch.,"The normalized output tree must contain exactly [UserService.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine Builder-based user creation from the left branch with Validator-based create and update checks from the right branch.",UserService.java,UserService.java,UserService.java,UserService.java,1,1,Builder & Validator Implementation,single_logical_correspondence,textual_structural_only,not_applicable,One logical program element is matched to one counterpart across the branches.,The intended change primarily modifies executable logic or runtime behavior.,independently_confirmed,independently_confirmed
scenario_12,Sales Validation,1:N,behavioral,synthetic_controlled,Common ancestor for the controlled 'Sales Validation' scenario; Java tree: [OrderServervice.java].,"Left branch for the controlled 'Sales Validation' scenario; Java tree: [CustomerValidator.java, ItemValidator.java, OrderService.java, PaymentValidator.java, ShippingValidator.java, ValidationExeption.java].","Right branch for the controlled 'Sales Validation' scenario; Java tree: [AuditLogger.java, OrderService.java].","Combine distributed order validation with audit logging and retain every validator, exception, and logger artifact required by the resolved OrderService workflow.","The normalized output tree must contain exactly [AuditLogger.java, CustomerValidator.java, ItemValidator.java, OrderService.java, PaymentValidator.java, ShippingValidator.java, ValidationException.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine distributed order validation with audit logging and retain every validator, exception, and logger artifact required by the resolved OrderService workflow.",OrderServervice.java,CustomerValidator.java;ItemValidator.java;OrderService.java;PaymentValidator.java;ShippingValidator.java;ValidationExeption.java,AuditLogger.java;OrderService.java,AuditLogger.java;CustomerValidator.java;ItemValidator.java;OrderService.java;PaymentValidator.java;ShippingValidator.java;ValidationException.java,9,2,Sales Validation,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies executable logic or runtime behavior.,independently_confirmed,independently_confirmed
scenario_13,Class Name Change,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Name Change' scenario; Java tree: [ContactInfo.java, Individual.java].",Resolve the Person decomposition into Individual and ContactInfo according to the oracle tree.,"The normalized output tree must contain exactly [ContactInfo.java, Individual.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the Person decomposition into Individual and ContactInfo according to the oracle tree.",Person.java,Person.java,ContactInfo.java;Individual.java,ContactInfo.java;Individual.java,3,2,Class Name Change,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_14,Variable Name Change,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Name Change' scenario; Java tree: [ContactDetails.java, PersonalInfo.java].",Resolve the Person decomposition into PersonalInfo and ContactDetails while propagating the left branch's name-to-fullName change into PersonalInfo.,"The normalized output tree must contain exactly [ContactDetails.java, PersonalInfo.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the Person decomposition into PersonalInfo and ContactDetails while propagating the left branch's name-to-fullName change into PersonalInfo.",Person.java,Person.java,ContactDetails.java;PersonalInfo.java,ContactDetails.java;PersonalInfo.java,3,2,Variable Name Change,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_15,Attribute Name Change,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Name Change' scenario; Java tree: [ContactInfo.java, Individual.java].",Resolve the attribute reorganization across Individual and ContactInfo while propagating the left branch's getPhoneNumber and setPhoneNumber accessors into ContactInfo.,"The normalized output tree must contain exactly [ContactInfo.java, Individual.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute reorganization across Individual and ContactInfo while propagating the left branch's getPhoneNumber and setPhoneNumber accessors into ContactInfo.",Person.java,Person.java,ContactInfo.java;Individual.java,ContactInfo.java;Individual.java,3,2,Attribute Name Change,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_16,String to PhoneNumber Type Change,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [ContactData.java, PersonalData.java].",Retain Person while extracting contact data into ContactData and applying the selected phone representation.,"The normalized output tree must contain exactly [ContactData.java, Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Person while extracting contact data into ContactData and applying the selected phone representation.",Person.java,Person.java,ContactData.java;PersonalData.java,ContactData.java;Person.java,3,2,String to PhoneNumber Type Change,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_17,Class Removal,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Removal' scenario; Java tree: [ContactMethods.java, PersonIdentity.java].",Retain the right branch's PersonIdentity and ContactMethods decomposition despite the competing whole-class removal.,"The normalized output tree must contain exactly [ContactMethods.java, PersonIdentity.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the right branch's PersonIdentity and ContactMethods decomposition despite the competing whole-class removal.",Person.java,Person.java,ContactMethods.java;PersonIdentity.java,ContactMethods.java;PersonIdentity.java,3,2,Class Removal,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_18,Class Addition,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Addition' scenario; Java tree: [PersonBasicInfo.java, PersonContactInfo.java].",Resolve the addition into PersonBasicInfo and PersonContactInfo.,"The normalized output tree must contain exactly [PersonBasicInfo.java, PersonContactInfo.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the addition into PersonBasicInfo and PersonContactInfo.",Person.java,Person.java,PersonBasicInfo.java;PersonContactInfo.java,PersonBasicInfo.java;PersonContactInfo.java,3,2,Class Addition,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_19,Variable Removal,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Removal' scenario; Java tree: [CoreInfo.java, ExtendedInfo.java].",Resolve the removal across the CoreInfo and ExtendedInfo decomposition.,"The normalized output tree must contain exactly [CoreInfo.java, ExtendedInfo.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the removal across the CoreInfo and ExtendedInfo decomposition.",Person.java,Person.java,CoreInfo.java;ExtendedInfo.java,CoreInfo.java;ExtendedInfo.java,3,2,Variable Removal,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_20,Variable Addition,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Addition' scenario; Java tree: [PersonContact.java, PersonId.java].",Resolve the addition across PersonId and PersonContact.,"The normalized output tree must contain exactly [PersonContact.java, PersonId.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the addition across PersonId and PersonContact.",Person.java,Person.java,PersonContact.java;PersonId.java,PersonContact.java;PersonId.java,3,2,Variable Addition,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_21,Attribute Removal,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Removal' scenario; Java tree: [Contact.java, Identity.java].",Resolve the decomposition into Identity and Contact while propagating the left branch's removal of birthDate.,"The normalized output tree must contain exactly [Contact.java, Identity.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the decomposition into Identity and Contact while propagating the left branch's removal of birthDate.",Person.java,Person.java,Contact.java;Identity.java,Contact.java;Identity.java,3,2,Attribute Removal,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_22,Attribute Addition,1:N,structural,synthetic_controlled,Common ancestor for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Addition' scenario; Java tree: [BasicPerson.java, ExtendedPerson.java].",Resolve the attribute addition across BasicPerson and ExtendedPerson.,"The normalized output tree must contain exactly [BasicPerson.java, ExtendedPerson.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute addition across BasicPerson and ExtendedPerson.",Person.java,Person.java,BasicPerson.java;ExtendedPerson.java,BasicPerson.java;ExtendedPerson.java,3,2,Attribute Addition,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_23,Strategy + Logging Implementation,1:N,behavioral,synthetic_controlled,Common ancestor for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [NotificationService.java].,"Left branch for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [EmailStrategy.java, NotificationService.java, NotificationStrategy.java, PushStrategy.java, SmsStrategy.java].",Right branch for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [NotificationService.java].,Combine strategy-based notification dispatch with logging and error handling.,"The normalized output tree must contain exactly [EmailStrategy.java, NotificationService.java, NotificationStrategy.java, PushStrategy.java, SmsStrategy.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine strategy-based notification dispatch with logging and error handling.",NotificationService.java,EmailStrategy.java;NotificationService.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,NotificationService.java,EmailStrategy.java;NotificationService.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,5,2,Strategy + Logging Implementation,one_to_multiple_correspondence,textual_structural_only,not_applicable,One logical source element is related to multiple target elements across the branches.,The intended change primarily modifies executable logic or runtime behavior.,independently_confirmed,independently_confirmed
scenario_24,Person + Address Reorganization,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Person.java].","Left branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Client.java].","Right branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Individual.java, Location.java].",Resolve the coupled Person-to-Client and Address-to-Location reorganization while preserving city in Location.,"The normalized output tree must contain exactly [Client.java, Location.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Person-to-Client and Address-to-Location reorganization while preserving city in Location.",Address.java;Person.java,Address.java;Client.java,Individual.java;Location.java,Client.java;Location.java,5,4,Person + Address Reorganization,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_25,Person + Contact Complex Reorganization,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [Contact.java, Person.java].","Left branch for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [Contact.java, Person.java].","Right branch for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [PhoneContact.java, User.java].",Resolve the coupled Person-to-User and contact-model reorganization while retaining the oracle's Contact representation.,"The normalized output tree must contain exactly [Contact.java, User.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Person-to-User and contact-model reorganization while retaining the oracle's Contact representation.",Contact.java;Person.java,Contact.java;Person.java,PhoneContact.java;User.java,Contact.java;User.java,4,4,Person + Contact Complex Reorganization,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_26,Customer and Order Fields Change,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Left branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Client.java, Purchase.java].",Integrate the selected Customer and Order field changes using Java filenames consistent with their public types.,"The normalized output tree must contain exactly [Customer.java, Order.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Integrate the selected Customer and Order field changes using Java filenames consistent with their public types.",Custumer.java;Order.java,Custumer.java;Order.java,Client.java;Purchase.java,Customer.java;Order.java,5,4,Customer and Order Fields Change,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_27,Department + Employee Reorganization,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Departament.java, Employee.java].","Left branch for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Division.java, Worker.java].","Right branch for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Departament.java, Employee.java].",Resolve the coupled Department-to-Division and Employee-to-Worker reorganization.,"The normalized output tree must contain exactly [Division.java, Worker.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Department-to-Division and Employee-to-Worker reorganization.",Departament.java;Employee.java,Division.java;Worker.java,Departament.java;Employee.java,Division.java;Worker.java,4,4,Department + Employee Reorganization,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_28,Address + Person to Detailed + Profile,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [Address.java, Person.java].",Left branch for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [Address.java].,"Right branch for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [DetailAddress.java, Profile.java].",Retain the Address artifact selected by the oracle while resolving the competing Person and detailed-profile decomposition.,"The normalized output tree must contain exactly [Address.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the Address artifact selected by the oracle while resolving the competing Person and detailed-profile decomposition.",Address.java;Person.java,Address.java,DetailAddress.java;Profile.java,Address.java,4,4,Address + Person to Detailed + Profile,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_29,Employee to Multiple Classes,N:N,structural,synthetic_controlled,Common ancestor for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Employee.java].,"Left branch for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Departament.java, Employee.java].","Right branch for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Organization.java, Position.java, Staff.java].",Retain Employee and integrate the selected Organization and Position artifacts from the multi-class decomposition.,"The normalized output tree must contain exactly [Employee.java, Organization.java, Position.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Employee and integrate the selected Organization and Position artifacts from the multi-class decomposition.",Employee.java,Departament.java;Employee.java,Organization.java;Position.java;Staff.java,Employee.java;Organization.java;Position.java,5,4,Employee to Multiple Classes,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_30,Person + Contact to User + Contact,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Contact.java, Person.java].","Left branch for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Contact.java, Person.java].","Right branch for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Person.java, UserContact.java].",Retain the Contact and Person artifacts selected by the oracle while resolving the competing UserContact reorganization.,"The normalized output tree must contain exactly [Contact.java, Person.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the Contact and Person artifacts selected by the oracle while resolving the competing UserContact reorganization.",Contact.java;Person.java,Contact.java;Person.java,Person.java;UserContact.java,Contact.java;Person.java,3,4,Person + Contact to User + Contact,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
scenario_31,Customer + Order to Client + Item,N:N,structural,synthetic_controlled,"Common ancestor for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Order.java, Person.java].","Left branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Client.java, Item.java, Purchase.java].","Resolve Customer and Order into Client, Item, and Purchase while propagating email into Client and orderDate into Purchase.","The normalized output tree must contain exactly [Client.java, Item.java, Purchase.java], match the workflow-confirmed oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve Customer and Order into Client, Item, and Purchase while propagating email into Client and orderDate into Purchase.",Order.java;Person.java,Custumer.java;Order.java,Client.java;Item.java;Purchase.java,Client.java;Item.java;Purchase.java,6,4,Customer + Order to Client + Item,multiple_interdependent_correspondences,textual_structural_only,not_applicable,Multiple interdependent source elements are related to multiple target elements across the branches.,The intended change primarily modifies a program declaration or organization.,independently_confirmed,independently_confirmed
