scenario_id,title,base_description,left_description,right_description,merge_intent,acceptance_criteria,expected_files,associated_tests
scenario_11,Builder & Validator Implementation,Common ancestor for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Left branch for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Right branch for the controlled 'Builder & Validator Implementation' scenario; Java tree: [UserService.java].,Combine Builder-based user creation from the left branch with Validator-based create and update checks from the right branch.,"The normalized output tree must contain exactly [UserService.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine Builder-based user creation from the left branch with Validator-based create and update checks from the right branch.",UserService.java,none_defined
scenario_12,Sales Validation,Common ancestor for the controlled 'Sales Validation' scenario; Java tree: [OrderServervice.java].,"Left branch for the controlled 'Sales Validation' scenario; Java tree: [CustomerValidator.java, ItemValidator.java, OrderService.java, PaymentValidator.java, ShippingValidator.java, ValidationExeption.java].","Right branch for the controlled 'Sales Validation' scenario; Java tree: [AuditLogger.java, OrderService.java].",Combine distributed order validation with audit logging in the resolved OrderService workflow.,"The normalized output tree must contain exactly [OrderService.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine distributed order validation with audit logging in the resolved OrderService workflow.",OrderService.java,none_defined
scenario_13,Class Name Change,Common ancestor for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Name Change' scenario; Java tree: [ContactInfo.java, Individual.java].",Resolve the Person decomposition into Individual and ContactInfo according to the oracle tree.,"The normalized output tree must contain exactly [ContactInfo.java, Individual.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the Person decomposition into Individual and ContactInfo according to the oracle tree.",ContactInfo.java;Individual.java,none_defined
scenario_14,Variable Name Change,Common ancestor for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Name Change' scenario; Java tree: [ContactDetails.java, PersonalInfo.java].",Resolve the Person decomposition into PersonalInfo and ContactDetails according to the oracle tree.,"The normalized output tree must contain exactly [ContactDetails.java, PersonalInfo.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the Person decomposition into PersonalInfo and ContactDetails according to the oracle tree.",ContactDetails.java;PersonalInfo.java,none_defined
scenario_15,Attribute Name Change,Common ancestor for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Name Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Name Change' scenario; Java tree: [ContactInfo.java, Individual.java].",Resolve the attribute reorganization across Individual and ContactInfo according to the oracle tree.,"The normalized output tree must contain exactly [ContactInfo.java, Individual.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute reorganization across Individual and ContactInfo according to the oracle tree.",ContactInfo.java;Individual.java,none_defined
scenario_16,String to PhoneNumber Type Change,Common ancestor for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [Person.java].,Left branch for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [Person.java].,"Right branch for the controlled 'String to PhoneNumber Type Change' scenario; Java tree: [ContactData.java, PersonalData.java].",Retain Person while extracting contact data into ContactData and applying the selected phone representation.,"The normalized output tree must contain exactly [ContactData.java, Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Person while extracting contact data into ContactData and applying the selected phone representation.",ContactData.java;Person.java,none_defined
scenario_17,Class Removal,Common ancestor for the controlled 'Class Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Removal' scenario; Java tree: [ContactMethods.java, PersonIdentity.java].",Retain Person and the ContactMethods extraction while applying the oracle's removal decision.,"The normalized output tree must contain exactly [ContactMethods.java, Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Person and the ContactMethods extraction while applying the oracle's removal decision.",ContactMethods.java;Person.java,none_defined
scenario_18,Class Addition,Common ancestor for the controlled 'Class Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Class Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Class Addition' scenario; Java tree: [PersonBasicInfo.java, PersonContactInfo.java].",Resolve the addition into PersonBasicInfo and PersonContactInfo.,"The normalized output tree must contain exactly [PersonBasicInfo.java, PersonContactInfo.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the addition into PersonBasicInfo and PersonContactInfo.",PersonBasicInfo.java;PersonContactInfo.java,none_defined
scenario_19,Variable Removal,Common ancestor for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Removal' scenario; Java tree: [CoreInfo.java, ExtendedInfo.java].",Resolve the removal across the CoreInfo and ExtendedInfo decomposition.,"The normalized output tree must contain exactly [CoreInfo.java, ExtendedInfo.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the removal across the CoreInfo and ExtendedInfo decomposition.",CoreInfo.java;ExtendedInfo.java,none_defined
scenario_20,Variable Addition,Common ancestor for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Variable Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Variable Addition' scenario; Java tree: [PersonContact.java, PersonId.java].",Resolve the addition across PersonId and PersonContact.,"The normalized output tree must contain exactly [PersonContact.java, PersonId.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the addition across PersonId and PersonContact.",PersonContact.java;PersonId.java,none_defined
scenario_21,Attribute Removal,Common ancestor for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Removal' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Removal' scenario; Java tree: [Contact.java, Identity.java].",Resolve the attribute removal across Identity and Contact.,"The normalized output tree must contain exactly [Contact.java, Identity.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute removal across Identity and Contact.",Contact.java;Identity.java,none_defined
scenario_22,Attribute Addition,Common ancestor for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,Left branch for the controlled 'Attribute Addition' scenario; Java tree: [Person.java].,"Right branch for the controlled 'Attribute Addition' scenario; Java tree: [BasicPerson.java, ExtendedPerson.java].",Resolve the attribute addition across BasicPerson and ExtendedPerson.,"The normalized output tree must contain exactly [BasicPerson.java, ExtendedPerson.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the attribute addition across BasicPerson and ExtendedPerson.",BasicPerson.java;ExtendedPerson.java,none_defined
scenario_23,Strategy + Logging Implementation,Common ancestor for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [NotificationService.java].,"Left branch for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [EmailStrategy.java, NotificationService.java, NotificationStrategy.java, PushStrategy.java, SmsStrategy.java].",Right branch for the controlled 'Strategy + Logging Implementation' scenario; Java tree: [NotificationService.java].,Combine strategy-based notification dispatch with logging and error handling.,"The normalized output tree must contain exactly [EmailStrategy.java, NotificationService.java, NotificationStrategy.java, PushStrategy.java, SmsStrategy.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine strategy-based notification dispatch with logging and error handling.",EmailStrategy.java;NotificationService.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,none_defined
scenario_24,Person + Address Reorganization,"Common ancestor for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Person.java].","Left branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Address.java, Client.java].","Right branch for the controlled 'Person + Address Reorganization' scenario; Java tree: [Individual.java, Location.java].",Resolve the coupled Person-to-Client and Address-to-Location reorganization.,"The normalized output tree must contain exactly [Client.java, Location.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Person-to-Client and Address-to-Location reorganization.",Client.java;Location.java,none_defined
scenario_25,Person + Contact Complex Reorganization,"Common ancestor for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [Contact.java, Person.java].","Left branch for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [Contact.java, Person.java].","Right branch for the controlled 'Person + Contact Complex Reorganization' scenario; Java tree: [PhoneContact.java, User.java].",Resolve the coupled Person-to-User and contact-model reorganization while retaining the oracle's Contact representation.,"The normalized output tree must contain exactly [Contact.java, User.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Person-to-User and contact-model reorganization while retaining the oracle's Contact representation.",Contact.java;User.java,none_defined
scenario_26,Customer and Order Fields Change,"Common ancestor for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Left branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer and Order Fields Change' scenario; Java tree: [Client.java, Purchase.java].",Integrate the selected Customer and Order field changes while retaining the oracle's Custumer and Order artifacts.,"The normalized output tree must contain exactly [Custumer.java, Order.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Integrate the selected Customer and Order field changes while retaining the oracle's Custumer and Order artifacts.",Custumer.java;Order.java,none_defined
scenario_27,Department + Employee Reorganization,"Common ancestor for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Departament.java, Employee.java].","Left branch for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Division.java, Worker.java].","Right branch for the controlled 'Department + Employee Reorganization' scenario; Java tree: [Departament.java, Employee.java].",Resolve the coupled Department-to-Division and Employee-to-Worker reorganization.,"The normalized output tree must contain exactly [Division.java, Worker.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve the coupled Department-to-Division and Employee-to-Worker reorganization.",Division.java;Worker.java,none_defined
scenario_28,Address + Person to Detailed + Profile,"Common ancestor for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [Address.java, Person.java].",Left branch for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [Address.java].,"Right branch for the controlled 'Address + Person to Detailed + Profile' scenario; Java tree: [DetailAddress.java, Profile.java].",Retain the Address artifact selected by the oracle while resolving the competing Person and detailed-profile decomposition.,"The normalized output tree must contain exactly [Address.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the Address artifact selected by the oracle while resolving the competing Person and detailed-profile decomposition.",Address.java,none_defined
scenario_29,Employee to Multiple Classes,Common ancestor for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Employee.java].,"Left branch for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Departament.java, Employee.java].","Right branch for the controlled 'Employee to Multiple Classes' scenario; Java tree: [Organization.java, Position.java, Staff.java].",Retain Employee and integrate the selected Organization and Position artifacts from the multi-class decomposition.,"The normalized output tree must contain exactly [Employee.java, Organization.java, Position.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Employee and integrate the selected Organization and Position artifacts from the multi-class decomposition.",Employee.java;Organization.java;Position.java,none_defined
scenario_30,Person + Contact to User + Contact,"Common ancestor for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Contact.java, Person.java].","Left branch for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Contact.java, Person.java].","Right branch for the controlled 'Person + Contact to User + Contact' scenario; Java tree: [Person.java, UserContact.java].",Retain the Contact and Person artifacts selected by the oracle while resolving the competing UserContact reorganization.,"The normalized output tree must contain exactly [Contact.java, Person.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain the Contact and Person artifacts selected by the oracle while resolving the competing UserContact reorganization.",Contact.java;Person.java,none_defined
scenario_31,Customer + Order to Client + Item,"Common ancestor for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Order.java, Person.java].","Left branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Custumer.java, Order.java].","Right branch for the controlled 'Customer + Order to Client + Item' scenario; Java tree: [Client.java, Item.java, Purchase.java].","Resolve Customer and Order into the Client, Item, and Purchase artifact tree.","The normalized output tree must contain exactly [Client.java, Item.java, Purchase.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve Customer and Order into the Client, Item, and Purchase artifact tree.",Client.java;Item.java;Purchase.java,none_defined
scenario_32,Student + Course to Learner + Program,"Common ancestor for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Course.java, Student.java].","Left branch for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Course.java, Student.java].","Right branch for the controlled 'Student + Course to Learner + Program' scenario; Java tree: [Learner.java, Program.java, StudentDetails.java].",Retain Course and resolve the student information into StudentDetails according to the oracle.,"The normalized output tree must contain exactly [Course.java, StudentDetails.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Course and resolve the student information into StudentDetails according to the oracle.",Course.java;StudentDetails.java,none_defined
scenario_33,User + Profile to Account + UserProfile,"Common ancestor for the controlled 'User + Profile to Account + UserProfile' scenario; Java tree: [Profile.java, User.java].","Left branch for the controlled 'User + Profile to Account + UserProfile' scenario; Java tree: [Profile.java, User.java].","Right branch for the controlled 'User + Profile to Account + UserProfile' scenario; Java tree: [Account.java, UserPreferences.java, UserProfile.java].",Retain Profile and User while resolving the competing Account and UserProfile decomposition.,"The normalized output tree must contain exactly [Profile.java, User.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Retain Profile and User while resolving the competing Account and UserProfile decomposition.",Profile.java;User.java,none_defined
scenario_34,Logic Change in calculateDiscount,Common ancestor for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Left branch for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Right branch for the controlled 'Logic Change in calculateDiscount' scenario; Java tree: [PriceCalculator.java].,Combine the competing calculateDiscount rules into the customer-type behavior selected by the oracle.,"The normalized output tree must contain exactly [PriceCalculator.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine the competing calculateDiscount rules into the customer-type behavior selected by the oracle.",PriceCalculator.java,none_defined
scenario_35,Validation Conflict in setAge,Common ancestor for the controlled 'Validation Conflict in setAge' scenario; Java tree: [User.java].,Left branch for the controlled 'Validation Conflict in setAge' scenario; Java tree: [User.java].,Right branch for the controlled 'Validation Conflict in setAge' scenario; Java tree: [User.java].,Combine the competing setAge validation constraints into the accepted age-validation behavior.,"The normalized output tree must contain exactly [User.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine the competing setAge validation constraints into the accepted age-validation behavior.",User.java,none_defined
scenario_36,Database Factory Implementation,Common ancestor for the controlled 'Database Factory Implementation' scenario; Java tree: [DatabaseConnection.java].,Left branch for the controlled 'Database Factory Implementation' scenario; Java tree: [DatabaseConnection.java].,"Right branch for the controlled 'Database Factory Implementation' scenario; Java tree: [DatabaseConnection.java, DatabaseConnectionFactory.java].",Combine singleton connection management with factory-based database connection creation.,"The normalized output tree must contain exactly [DatabaseConnection.java, DatabaseConnectionFactory.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine singleton connection management with factory-based database connection creation.",DatabaseConnection.java;DatabaseConnectionFactory.java,none_defined
scenario_37,List to Set vs Array Logic Change,Common ancestor for the controlled 'List to Set vs Array Logic Change' scenario; Java tree: [TeamManager.java].,Left branch for the controlled 'List to Set vs Array Logic Change' scenario; Java tree: [TeamManager.java].,Right branch for the controlled 'List to Set vs Array Logic Change' scenario; Java tree: [TeamManager.java].,Resolve list-versus-set membership semantics with deterministic uniqueness and both list and set views.,"The normalized output tree must contain exactly [TeamManager.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Resolve list-versus-set membership semantics with deterministic uniqueness and both list and set views.",TeamManager.java,none_defined
scenario_38,Exception vs Boolean + Log Validation,Common ancestor for the controlled 'Exception vs Boolean + Log Validation' scenario; Java tree: [UserValidator.java].,Left branch for the controlled 'Exception vs Boolean + Log Validation' scenario; Java tree: [UserValidator.java].,Right branch for the controlled 'Exception vs Boolean + Log Validation' scenario; Java tree: [UserValidator.java].,Combine exception-based and boolean validation with configurable error logging.,"The normalized output tree must contain exactly [UserValidator.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Combine exception-based and boolean validation with configurable error logging.",UserValidator.java,none_defined
scenario_39,Recurring Billing and Subscription,"Common ancestor for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [Customer.java, Order.java, OrderProcessor.java].","Left branch for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [Customer.java, LoyaltyManager.java, Order.java, OrderProcessor.java].","Right branch for the controlled 'Recurring Billing and Subscription' scenario; Java tree: [BillingManager.java, Customer.java, Order.java, OrderProcessor.java, SubscriptionManager.java].","Integrate loyalty, subscription, recurring billing, payment, credit, and order-processing behavior across the full artifact tree.","The normalized output tree must contain exactly [BillingManager.java, Customer.java, LoyaltyManager.java, Order.java, OrderProcessor.java, SubscriptionManager.java], match the independently approved oracle, contain no conflict markers, pass the preregistered syntax check, and satisfy this intent: Integrate loyalty, subscription, recurring billing, payment, credit, and order-processing behavior across the full artifact tree.",BillingManager.java;Customer.java;LoyaltyManager.java;Order.java;OrderProcessor.java;SubscriptionManager.java,none_defined
