tool_name,scenario_id,mapping,change_type,execution_status,status_detail,expected_file_count,actual_file_count,missing_files,extra_files,expected_line_count,actual_line_count,true_positives,false_positives,false_negatives,precision,recall,f1_score,sequence_agreement,exact_oracle_match,syntactic_valid,syntax_validator,syntax_detail,compiles,scenario_tests_pass,complete_textual_resolution
IntelliMerge,scenario_5,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
IntelliMerge,scenario_6,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,50,50,0,0,1.0,1.0,1.0,1.0,True,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,True
IntelliMerge,scenario_10,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,51,51,51,0,0,1.0,1.0,1.0,1.0,True,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,True
IntelliMerge,scenario_11,1:1,behavioral,completed_conflicted,conflict markers remain,1,1,,,113,117,94,23,19,0.8034188034188035,0.831858407079646,0.817391304347826,0.8034188034188035,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_17,1:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
IntelliMerge,scenario_23,1:N,behavioral,completed_conflicted,conflict markers remain,5,1,EmailStrategy.java;NotificationStrategy.java;PushStrategy.java;SmsStrategy.java,,55,43,21,22,34,0.4883720930232558,0.38181818181818183,0.42857142857142855,0.23636363636363636,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
IntelliMerge,scenario_30,N:N,structural,completed_clean,process completed with a readable output tree,2,1,Contact.java,,53,25,13,12,40,0.52,0.24528301886792453,0.3333333333333333,0.24528301886792453,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,parser diagnostics: compiler.err.class.public.should.be.in.file,,,False
IntelliMerge,scenario_38,N:N,behavioral,completed_conflicted,conflict markers remain,1,1,,,174,165,109,56,65,0.6606060606060606,0.6264367816091954,0.6430678466076697,0.5172413793103449,False,False,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"parser diagnostics: compiler.err.expected, compiler.err.illegal.start",,,False
JDime,scenario_1,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_5,1:1,structural,completed_clean,process completed with a readable output tree,1,1,,,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
JDime,scenario_6,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_10,1:1,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_11,1:1,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_17,1:N,structural,completed_clean,process completed with a readable output tree,2,1,ContactMethods.java;PersonIdentity.java,Person.java,50,0,0,0,50,,0.0,,0.0,False,True,javac -proc:none -XDrawDiagnostics; parser diagnostics only,"no javac parser diagnostic; type-resolution diagnostics, if any, are not compilation evidence",,,False
JDime,scenario_23,1:N,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_30,N:N,structural,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
JDime,scenario_38,N:N,behavioral,invalid_output,no Java artifact was produced,,,,,,,,,,,,,,,,javac -proc:none -XDrawDiagnostics; parser diagnostics only,not applicable for this execution status,,,False
